course_id,prof_name,review_text,rating
1,홍길동,과제 많지만 설명이 정말 자세해서 이해가 잘 됨,5
1,홍길동,말이 너무 빨라서 필기를 못 따라감,2
1,홍길동,중요한 부분을 반복해서 짚어줘서 좋았다,4
1,홍길동,별로다… ppt만 읽고 수업이 끝남,1
1,홍길동,예시를 많이 들어줘서 실전 이해에 도움이 됨,5
1,홍길동,시험 난이도가 너무 높다,2
1,홍길동,내용이 탄탄하고 실력이 늘어나는 느낌,5
1,홍길동,지루하고 졸림,1
1,홍길동,과제는 많지만 배운 게 많음,4
1,홍길동,설명은 느린데 이해는 잘 되는 편,3
2,김영희,출석도 널널하고 편하게 들을 수 있는 꿀강의,5
2,김영희,시험 범위 공지가 늦어서 준비하기 힘들었다,2
2,김영희,내용이 깊어서 이해가 어렵다,2
2,김영희,학생 피드백을 잘 반영해서 좋았다,4
2,김영희,딱딱하고 재미없음,1
2,김영희,실무 사례 중심으로 설명해줘서 좋았다,5
2,김영희,조별 과제가 너무 많아서 힘듦,2
2,김영희,평범하고 무난한 강의,3
2,김영희,교수님이 친절하고 질문도 잘 받아줌,5
2,김영희,강의 슬라이드가 부실함,2
3,이철수,ppt만 읽어서 이해가 잘 안 됨,1
3,이철수,예시와 연습문제를 많이 줘서 좋았다,4
3,이철수,평가가 너무 빡세서 점수 받기 힘듦,2
3,이철수,설명이 깔끔하고 요점을 잘 정리해준다,5
3,이철수,조용하고 지루함,1
3,이철수,말투는 딱딱하지만 내용은 좋다,4
3,이철수,수업 흐름이 매끄럽고 듣기 좋음,5
3,이철수,수업 자료 퀄리티가 낮다,2
3,이철수,이해가 잘 되는 편은 아님,2
3,이철수,강의력은 좋지만 과제가 많다,4
4,박민수,조별과제가 많지만 실무에 도움 되는 수업,4
4,박민수,설명도 잘하고 수업 준비가 잘 되어 있음,5
4,박민수,시험이 너무 어렵다,2
4,박민수,과제도 적당하고 난이도도 적당하다,4
4,박민수,학생에게 관심이 많고 성실한 느낌,5
4,박민수,수업 진행이 느리고 지루하다,2
4,박민수,내용은 좋은데 전달력이 부족함,3
4,박민수,과제가 거의 없어서 좋다,5
4,박민수,강의가 너무 빠름,2
4,박민수,친절하고 질문을 잘 받아줌,5
5,조민재,설명도 좋고 과제도 적당하다,4
5,조민재,학습 목표가 불분명함,2
5,조민재,실습 위주라 재밌고 도움이 많이 됨,5
5,조민재,너무 지루해서 집중하기 어려움,1
5,조민재,이해 잘 되게 차근차근 설명해줌,5
5,조민재,과제가 너무 많다,2
5,조민재,수업을 따라가기 힘들다,2
5,조민재,유익하고 실전 감각이 생김,4
5,조민재,평범한 강의였다,3
5,조민재,강의 자료가 부실함,2
